=== Germanium ROHF Term-Dependent 3P (Z=32) ===
58   | -2075.35884572 |   8.03e-05 |   1.2666
59   | -2075.35891882 |   7.31e-05 |   1.3748
60   | -2075.35898544 |   6.66e-05 |   1.2930
61   | -2075.35904622 |   6.08e-05 |   1.2742
62   | -2075.35910172 |   5.55e-05 |   1.2802
63   | -2075.35915243 |   5.07e-05 |   1.2712
64   | -2075.35919880 |   4.64e-05 |   1.3954
65   | -2075.35924125 |   4.24e-05 |   1.2696
66   | -2075.35928011 |   3.89e-05 |   1.2950
67   | -2075.35931573 |   3.56e-05 |   1.2794
68   | -2075.35934840 |   3.27e-05 |   1.3198
69   | -2075.35937837 |   3.00e-05 |   1.3741
70   | -2075.35940588 |   2.75e-05 |   1.2785
71   | -2075.35943116 |   2.53e-05 |   1.2799
72   | -2075.35945439 |   2.32e-05 |   1.2853
73   | -2075.35947575 |   2.14e-05 |   1.2759
74   | -2075.35949540 |   1.97e-05 |   1.3743
75   | -2075.35951348 |   1.81e-05 |   1.2925
76   | -2075.35953014 |   1.67e-05 |   1.2708
77   | -2075.35954548 |   1.53e-05 |   1.2847
78   | -2075.35955962 |   1.41e-05 |   1.2686
79   | -2075.35957265 |   1.30e-05 |   1.3676
80   | -2075.35958467 |   1.20e-05 |   1.3139
81   | -2075.35959575 |   1.11e-05 |   1.2689
82   | -2075.35960598 |   1.02e-05 |   1.2755
83   | -2075.35961543 |   9.44e-06 |   1.2934
84   | -2075.35962415 |   8.72e-06 |   1.3779
85   | -2075.35963221 |   8.06e-06 |   1.2827
86   | -2075.35963965 |   7.44e-06 |   1.2689
87   | -2075.35964652 |   6.88e-06 |   1.2930
88   | -2075.35965288 |   6.36e-06 |   1.2999
89   | -2075.35965876 |   5.88e-06 |   1.3871
90   | -2075.35966420 |   5.44e-06 |   1.2744
91   | -2075.35966923 |   5.03e-06 |   1.3030
92   | -2075.35967388 |   4.65e-06 |   1.2672
93   | -2075.35967818 |   4.31e-06 |   1.2875
94   | -2075.35968217 |   3.99e-06 |   1.3721
95   | -2075.35968586 |   3.69e-06 |   1.2909
96   | -2075.35968928 |   3.42e-06 |   1.2751
97   | -2075.35969244 |   3.16e-06 |   1.2730
98   | -2075.35969537 |   2.93e-06 |   1.2697
99   | -2075.35969809 |   2.72e-06 |   1.3731
100  | -2075.35970060 |   2.52e-06 |   1.2772
101  | -2075.35970293 |   2.33e-06 |   1.3208
102  | -2075.35970509 |   2.16e-06 |   1.2713
103  | -2075.35970710 |   2.00e-06 |   1.2691
104  | -2075.35970896 |   1.86e-06 |   1.4104
105  | -2075.35971068 |   1.72e-06 |   1.3051
106  | -2075.35971227 |   1.60e-06 |   1.2745
107  | -2075.35971376 |   1.48e-06 |   1.2787
108  | -2075.35971513 |   1.37e-06 |   1.3020
109  | -2075.35971640 |   1.27e-06 |   1.3977
110  | -2075.35971759 |   1.18e-06 |   1.2739
111  | -2075.35971868 |   1.10e-06 |   1.2928
112  | -2075.35971970 |   1.02e-06 |   1.2723
113  | -2075.35972065 |   9.45e-07 |   1.2838
114  | -2075.35972152 |   8.77e-07 |   1.3758
115  | -2075.35972234 |   8.14e-07 |   1.2873
116  | -2075.35972309 |   7.56e-07 |   1.2702
117  | -2075.35972380 |   7.02e-07 |   1.2769
118  | -2075.35972445 |   6.52e-07 |   1.2817
119  | -2075.35972505 |   6.05e-07 |   1.3772
120  | -2075.35972562 |   5.62e-07 |   1.2880
121  | -2075.35972614 |   5.22e-07 |   1.2681
122  | -2075.35972662 |   4.85e-07 |   1.2902
123  | -2075.35972707 |   4.50e-07 |   1.2693
124  | -2075.35972749 |   4.18e-07 |   1.3906
125  | -2075.35972788 |   3.89e-07 |   1.2663
126  | -2075.35972824 |   3.61e-07 |   1.2865
127  | -2075.35972858 |   3.36e-07 |   1.2708
128  | -2075.35972889 |   3.12e-07 |   1.2889
129  | -2075.35972918 |   2.90e-07 |   1.3822
130  | -2075.35972945 |   2.69e-07 |   1.2728
131  | -2075.35972970 |   2.50e-07 |   1.2972
132  | -2075.35972993 |   2.33e-07 |   1.2697
133  | -2075.35973015 |   2.16e-07 |   1.2846
134  | -2075.35973035 |   2.01e-07 |   1.3771
135  | -2075.35973054 |   1.87e-07 |   1.2897
136  | -2075.35973071 |   1.74e-07 |   1.2707
137  | -2075.35973087 |   1.62e-07 |   1.2869
138  | -2075.35973102 |   1.50e-07 |   1.2700
139  | -2075.35973116 |   1.40e-07 |   1.3923
140  | -2075.35973129 |   1.30e-07 |   1.2704
141  | -2075.35973141 |   1.21e-07 |   1.2880
142  | -2075.35973153 |   1.12e-07 |   1.2715
143  | -2075.35973163 |   1.05e-07 |   1.2720
144  | -2075.35973173 |   9.73e-08 |   1.3921
145  | -2075.35973182 |   9.05e-08 |   1.2698
146  | -2075.35973190 |   8.41e-08 |   1.2861
147  | -2075.35973198 |   7.83e-08 |   1.2738
148  | -2075.35973205 |   7.28e-08 |   1.2846
149  | -2075.35973212 |   6.77e-08 |   1.3751
150  | -2075.35973218 |   6.30e-08 |   1.2837
151  | -2075.35973224 |   5.86e-08 |   1.2719
152  | -2075.35973230 |   5.45e-08 |   1.2843
153  | -2075.35973235 |   5.08e-08 |   1.2718
154  | -2075.35973239 |   4.72e-08 |   1.3909
155  | -2075.35973244 |   4.40e-08 |   1.2856
156  | -2075.35973248 |   4.09e-08 |   1.2696
157  | -2075.35973252 |   3.81e-08 |   1.2866
158  | -2075.35973255 |   3.54e-08 |   1.2722
159  | -2075.35973259 |   3.30e-08 |   1.3914
160  | -2075.35973262 |   3.07e-08 |   1.2750
161  | -2075.35973265 |   2.86e-08 |   1.3056
162  | -2075.35973267 |   2.66e-08 |   1.2833
163  | -2075.35973270 |   2.47e-08 |   1.3071
164  | -2075.35973272 |   2.30e-08 |   1.3787
165  | -2075.35973274 |   2.15e-08 |   1.2697
166  | -2075.35973276 |   2.00e-08 |   1.2902
167  | -2075.35973278 |   1.86e-08 |   1.2692
168  | -2075.35973280 |   1.73e-08 |   1.2853
169  | -2075.35973281 |   1.61e-08 |   1.3787
170  | -2075.35973283 |   1.50e-08 |   1.2834
171  | -2075.35973284 |   1.40e-08 |   1.2719
172  | -2075.35973286 |   1.30e-08 |   1.2831
173  | -2075.35973287 |   1.21e-08 |   1.2691
174  | -2075.35973288 |   1.13e-08 |   1.3912
175  | -2075.35973289 |   1.05e-08 |   1.2691
176  | -2075.35973290 |   9.77e-09 |   1.2710
177  | -2075.35973291 |   9.09e-09 |   1.2863
178  | -2075.35973292 |   8.47e-09 |   1.2728
179  | -2075.35973292 |   7.89e-09 |   1.3930
180  | -2075.35973293 |   7.34e-09 |   1.2699
181  | -2075.35973294 |   6.85e-09 |   1.2905
182  | -2075.35973294 |   6.38e-09 |   1.2689
183  | -2075.35973295 |   5.93e-09 |   1.2837
184  | -2075.35973296 |   5.53e-09 |   1.3739
185  | -2075.35973296 |   5.15e-09 |   1.3010
186  | -2075.35973297 |   4.80e-09 |   1.2714
187  | -2075.35973297 |   4.44e-09 |   1.2721
188  | -2075.35973297 |   4.17e-09 |   1.2861
189  | -2075.35973298 |   3.87e-09 |   1.3745
190  | -2075.35973298 |   3.61e-09 |   1.2812
191  | -2075.35973299 |   3.35e-09 |   1.2728
192  | -2075.35973299 |   3.14e-09 |   1.2909
193  | -2075.35973299 |   2.91e-09 |   1.3200
194  | -2075.35973299 |   2.71e-09 |   1.3751
195  | -2075.35973300 |   2.53e-09 |   1.2666
196  | -2075.35973300 |   2.35e-09 |   1.2695
197  | -2075.35973300 |   2.19e-09 |   1.3014
198  | -2075.35973300 |   2.05e-09 |   1.2678
199  | -2075.35973301 |   1.90e-09 |   1.3875
200  | -2075.35973301 |   1.79e-09 |   1.2705
201  | -2075.35973301 |   1.65e-09 |   1.2941
202  | -2075.35973301 |   1.54e-09 |   1.2676
203  | -2075.35973301 |   1.44e-09 |   1.2689
204  | -2075.35973301 |   1.34e-09 |   1.3902
205  | -2075.35973301 |   1.25e-09 |   1.2684
206  | -2075.35973302 |   1.15e-09 |   1.2715
207  | -2075.35973302 |   1.10e-09 |   1.2965
208  | -2075.35973302 |   9.96e-10 |   1.2698
------------------------------------------------------------------------------
Converged purely on energy metric in 208 iterations.
Energía final HF-t (^3P): -2075.359733 Ha
Saved Term-Dependent ROHF data and SO coupling prerequisites to germanium_rohf_results_R30.0.jld2
===== END =====
